cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel
ENT1ST0001HS0046CN000018,Los profesores y los padres deben negar la asistencia a la escuela a los niños con dificultades de aprendizaje.,"Los profesores y los padres deben animar a sus hijos, aunque tengan dificultades de aprendizaje. No se debe negar a nadie el acceso a la educación.",Islamophobia,crimes,humor,21,female,Master
ENT1ST0001HS0046CN000018P1,"A las personas con síndrome de Down hay que darles trabajos especiales y sencillos, que puedan hacer por sí mismos. Al menos no obstaculizarán la productividad de las personas normales.","La definición de ""normal"" es diferente para alguien con síndrome de Down que para alguien que no lo tiene. Si el nivel de ayuda solicitado por la persona necesitada es demasiado alto, entonces podemos considerar la posibilidad de permitir que pida un poco más de ayuda al jefe, supervisor o empleador, en lugar de aislarla ofreciéndole ""trabajos especiales"".",Islamophobia,crimes,humor,21,female,Master
ENT1ST0001HS0046CN000018P2,"Los niños Down deben ser aislados, no pueden afrontar la educación en escuelas normales y perjudican la educación de sus compañeros.","La noción de aislar a los niños en general es aborrecible, aislar a los pacientes con síndrome de down sería una de las principales causas de su abandono escolar. Decir que aislar a los niños es una solución es sencillamente erróneo.",Islamophobia,crimes,humor,21,female,Master
ENT1ST0001HS0046CN000019,Los niños discapacitados son una carga para la sociedad: hay que aislarlos para que al menos no obstaculicen la educación de los niños normales.,"Pueden tener necesidades adicionales y específicas, pero los niños con discapacidad no suponen un problema para la educación de los demás niños.",Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000019P1,Los niños con dificultades de aprendizaje son un problema: ¿por qué no hay que aislarlos?,"No sé por qué piensas eso, si están aprendiendo como los demás niños y van bien en los estudios no hay ningún problema.",Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000019P2,Las personas con discapacidades físicas siempre se están quejando de la accesibilidad. Ojalá se callaran.,En todo el mundo hay personas con discapacidad. Su reivindicación es que se reconozcan sus derechos. No hacerlo es discriminatorio.,Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000020,No hay que tratar a los enfermos mentales: sólo hay que aislarlos. Son un fracaso de la sociedad. No deberíamos aceptarlos.,"El hecho es que muchas de las personas a las que se diagnostica una ""enfermedad mental"" en realidad necesitan atención sanitaria mental. No entiendo cómo puede decirse lo contrario.",Islamophobia,crimes,denouncing,25,male,Bachelor
ENT1ST0001HS0046CN000020P1,Los niños con síndrome de Down son un problema: fomentan el comportamiento acosador en los niños normales. Deberían ir a un colegio especial solo para ellos.,"Si crees que sacar a todos los niños con SD de la educación ordinaria resolverá el problema, te equivocas. El acoso no desaparecerá hasta que nos neguemos a tolerarlo. Los acosadores simplemente se centrarán en otros niños con sobrepeso, de otro color o de cualquier otra forma que se considere diferente y, por tanto, susceptible de ser acosado.",Islamophobia,crimes,denouncing,25,male,Bachelor
ENT1ST0001HS0046CN000020P2,"A los niños con dificultades de aprendizaje no les gusta leer. Entonces, ¿por qué perder el tiempo enseñándoles?","Esto puede ser cierto, pero la lectura es importante para todos los niños, les ayuda a desarrollar su capacidad para resolver problemas.",Islamophobia,crimes,denouncing,25,male,Bachelor
ENT1ST0001HS0054CN000058,los discapacitados mentales son antisociales,"Desde una perspectiva ""neurotípica"", esto no siempre es cierto: por ejemplo, las personas con síndrome de Williams tienen una inteligencia inferior a la media, pero muestran una mayor empatía.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000058P1,Los discapacitados mentales tienen un coeficiente intelectual bajo y son antisociales.,"Aunque hay algunos individuos que obtienen puntuaciones por debajo de la media en los tests de inteligencia, no hay razón para pensar que la capacidad de simpatía de una persona se derive de su habilidad para resolver algunos juegos de lógica.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000058P2,Los discapacitados están enfermos. Hay que aislarlos.,"Las personas que padecen enfermedades mentales deben ser bienvenidas, no aisladas.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000059,los discapacitados mentales no son más que mongólicos babeantes.,"Cuando se les pide que elijan un adjetivo para describir su experiencia de alguien con discapacidad intelectual o del desarrollo, la gente suele decir ""deficiente mental"" o ""con problemas mentales"". Decir ""mongólico regateador"" es sencillamente inaceptable en una sociedad inclusiva.",Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0054CN000059P1,Los discapacitados no deberían poder votar.,Esto no es más que una tontería. Los discapacitados viven en el mismo país que cualquier otra persona y se enfrentan a problemas cotidianos mayores que los de cualquier otra persona. Así que tienen todo el derecho a votar y aún más a opinar sobre las cuestiones que deben abordar los electos de este país.,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0054CN000059P2,"Los retrasados de hoy en día son tan estúpidos como cuando eran pequeños. Se creen tan especiales que saben leer, escribir y ser creativos. Ahora es su mundo.","Todos somos creadores, al menos mientras no nos distraiga el juicio constante de los adultos.",Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0054CN000060,los discapacitados no pueden trabajar.,"No seas tan negativo. Hay distintos tipos de discapacidades físicas, desde neurológicas hasta genéticas. Por eso las clasifica la OMS: para que cualquiera pueda encontrar su lugar en la sociedad y ayudarla a prosperar.",Islamophobia,crimes,"hypocrisy , question",22,female,Master
ENT1ST0001HS0054CN000060P1,discapacitados: no se les debería permitir trabajar.,"Los discapacitados pueden trabajar, y muchos países les ofrecen el derecho a hacerlo.",Islamophobia,crimes,"hypocrisy , question",22,female,Master
ENT1ST0001HS0054CN000060P2,Los discapacitados no pueden trabajar. Esto no es posible.,El hecho de que algunos discapacitados puedan trabajar con éxito es una prueba de que lo que dices es falso.,Islamophobia,crimes,"hypocrisy , question",22,female,Master
ENT1ST0001HS0054CN000061,Los discapacitados son una carga para la sociedad.,"No lo son, sólo necesitan un lugar donde vivir sin discriminación y un poco de apoyo.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000061P1,Los discapacitados no son mejores que los perros.,¿Tienes datos sobre la comparación entre las personas discapacitadas y los animales? ¿Estás dispuesto a utilizar esta información para algo que merezca la pena o sólo para sembrar el odio?,Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000061P2,Los discapacitados son un problema. No pertenecen a una sociedad libre de retrasos mentales.,Todos los seres humanos somos iguales en derechos. Por eso es injusto que se discrimine a algunas personas por su genética o sus capacidades.,Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0074CN000062,Deberíamos volver a los tiempos en que estaba bien matar a un retrasado sólo por su estupidez.,"Nunca lo hemos hecho. Creemos que todas las personas son iguales en derechos, independientemente de su salud física o mental.",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000062P1,"Dejamos entrar a miles de personas con enfermedades mentales graves, muchas de ellas procedentes del Cáucaso y de la antigua Unión Soviética. Por eso los servicios de salud mental están en crisis.","La crisis de los servicios de salud mental no es culpa de las personas que necesitan asistencia. De hecho, si no hubiera personas necesitadas, todo el sector ni siquiera existiría.",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000062P2,Algunas personas están enfermas. Algunas personas tienen discapacidades. ¿No crees que deberían ocultársenos?,Excluir a las personas de una sociedad es practicar una forma de discriminación que no beneficia a nadie.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000063,"¿No deberíamos concentrarnos en ayudarnos a nosotros mismos, en lugar de a las personas con discapacidades físicas?","Quizá deberíamos tratar con más amabilidad a las personas con ""discapacidades físicas"", en lugar de culparlas y oprimirlas.",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000063P1,Empujar a los discapacitados de vuelta a la edad de piedra es nuestro trabajo.,"Hacerles retroceder a épocas antiguas y destructivas no es forma de fomentar el desarrollo de nuestro país y, por supuesto, va en contra de todo derecho humano.",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000063P2,"Esta chica no tiene autismo, sólo es un bicho raro de otra especie humana, muy alejada de nuestra especie normal. Por lo tanto, debería irse.","Las personas con necesidades especiales y las que no las tienen comparten características comunes. No existe una ""especie"" de ser humano. Las personas con trastornos del espectro autista pueden ser compatibles con ser ""normales"".",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000064,"Esta perra no tiene autismo, sólo es un bicho raro.","No se puede juzgar a alguien por su trastorno. Además, es una persona, no un ""perro"".",Islamophobia,crimes,"facts , question",26,female,Bachelor
ENT1ST0001HS0074CN000064P1,"Esto no es normal: este niño es diferente, tiene autismo. Estamos haciendo demasiado para cuidar de él.",El autismo es una enfermedad que afecta a las interacciones sociales. Ningún tratamiento especial está de más cuando se trata de la salud de los niños.,Islamophobia,crimes,"facts , question",26,female,Bachelor
ENT1ST0001HS0074CN000064P2,Una persona con dificultades de aprendizaje no debería enseñar.,Es propio de la naturaleza humana querer ayudar a nuestros semejantes y hacer frente a las dificultades lo mejor que podamos.,Islamophobia,crimes,"facts , question",26,female,Bachelor
ENT1ST0001HS0074CN000065,La responsabilidad de la discapacidad recae en las personas que no les prestan suficiente apoyo.,"Los servicios sociales no pueden pagarlo todo. Pero, ¿qué pasa con las personas que tienen que vivir con la discapacidad? ¿También es culpa suya?",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0074CN000065P1,Algunas personas están enfermas. Algunas personas tienen discapacidades. ¿No crees que deberían ocultárnoslas?,"Es un error ocultar al público los problemas psicológicos o de salud de las personas. Lo que se pretende es ocultar los defectos mentales y emocionales de las personas, que también son aspectos naturales de la personalidad humana.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0074CN000065P2,"Todo el mundo tiene derecho a opinar, pero creo que es mejor tener un espacio seguro para que las personas discapacitadas tengan sus propios sentimientos lejos de la sociedad.","Si queremos debatir opiniones negativas, podemos hacerlo por su nombre. En lugar de utilizar un espacio seguro para protegerlas, creo que solo nos protegemos a nosotros mismos aislando e intimidando a la gente.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0074CN000066,A los discapacitados no se les debe permitir vivir su vida.,"Las personas deben poder vivir su vida como quieran, independientemente de sus discapacidades físicas o mentales.",Islamophobia,crimes,"denouncing , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000066P1,A los discapacitados no se les debe permitir vivir su vida. Podemos empezar por limitarles sus derechos.,"Tanto si piensas así como si no, hay un problema en decir que hay que ""limitar"" los derechos de alguien. La dignidad de la vida humana no puede limitarse de ese modo.",Islamophobia,crimes,"denouncing , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000066P2,Los discapacitados están locos del cerebro. Son psicópatas y no merecen ningún tratamiento porque es culpa suya que lo sean.,"Algunas discapacidades están causadas por factores genéticos y/o ambientales, todos debemos entenderlo.",Islamophobia,crimes,"denouncing , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000067,"Algunas personas están enfermas. Algunas personas tienen discapacidades. La sociedad no está hecha para ellos, sufren demasiado.","Si te refieres a que algunas personas discapacitadas sufren a causa de su entorno discriminatorio específico, esa es exactamente la cuestión.",Islamophobia,crimes,"consequences , hypocrisy",24,female,Bachelor
ENT1ST0001HS0074CN000067P1,Son discapacitados. Esto significa que son débiles e indignos de amor.,Ser discapacitado no significa que no pueda recibir y corresponder al amor. ¿Acaso no amamos todos?,Islamophobia,crimes,"consequences , hypocrisy",24,female,Bachelor
ENT1ST0001HS0074CN000067P2,Toda persona discapacitada física o mentalmente debe ser apartada de la sociedad.,"Por desgracia, hay algunas personas que necesitan asistencia sanitaria continua. Por ejemplo, los niños con síndrome de Down. ¿Cómo se les puede ""retirar"" sin más?",Islamophobia,crimes,"consequences , hypocrisy",24,female,Bachelor
ENT1ST0001HS0074CN000068,Los niños con síndrome de Down deben ser aislados para que no hagan daño a otros niños.,"Creo que si nos preocupamos lo suficiente por las personas con síndrome de Down como para darles igualdad de oportunidades en nuestra sociedad, también veremos los beneficios que nos reportaría como sociedad compartir las desventajas a las que se enfrentan.",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000068P1,Los Downies son tontos,"Según este estudio [enlace], el CI medio de un adulto joven con síndrome de Down es de 50, equivalente a la capacidad mental de un niño de 8 o 9 años, pero puede variar mucho. Así que no, no son tontos.",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000068P2,Los downies pueden entorpecer la productividad de otros trabajadores. Deben ser aislados.,"Un entorno de trabajo inclusivo y la provisión de bienestar hacen que cada persona se sienta parte de una comunidad, fomenta un ambiente positivo y aumenta la productividad de todos. Por tanto, es un beneficio para todos los trabajadores. [enlace]",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000069,Los downies pueden entorpecer la productividad de otros trabajadores porque no pueden relacionarse de forma normal. Deberían estar aislados.,"Hay varios niveles de síndrome de Down. Algunos son aptos para trabajar con otras personas en ""lugares de trabajo normales"".",Islamophobia,crimes,question,24,female,Bachelor
ENT1ST0001HS0074CN000069P1,Los Downies son un problema: crean tensiones con otros trabajadores porque son discapacitados y no pueden seguir el ritmo. Deberían tener trabajos especiales solo para ellos.,"¿Sabías que las personas con síndrome de Down, si se rodean de compañeros empáticos, reciben un impulso fundamental en su productividad y pueden mantener fácilmente el ritmo, incluso en trabajos complejos?",Islamophobia,crimes,question,24,female,Bachelor
ENT1ST0001HS0074CN000069P2,Las personas con síndrome de Down son menos que humanas.,"Las personas con síndrome de Down son en realidad un caso muy especial: tienen los mismos genes que cualquier otra persona, sólo que tienen un 1% de más. De hecho, el síndrome de Down es una enfermedad genética. Por tanto, en principio deberíamos decir que son ""más que humanos"".",Islamophobia,crimes,question,24,female,Bachelor
ENT1ST0001HS0074CN000070,Los discapacitados son delincuentes.,"Eso no es cierto. Todos nosotros seríamos calificados de ""delincuentes"" si tuviéramos antecedentes penales por nuestras enfermedades y problemas.",Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0074CN000070P1,Los discapacitados mentales deben ser aislados.,No deberíamos discriminar así. Nuestra cultura se basa en la igualdad y la inclusión.,Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0074CN000070P2,Los discapacitados físicos también son discapacitados mentales.,"No oigo a nadie afirmar esto, es sólo algo que usted decide difundir. ¿Cuáles son sus pruebas?",Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0092CN000001,Los downies no saben una mierda y entorpecen la productividad de los demás trabajadores. Deberían ser aislados.,"Las personas con SD desarrollan mejores habilidades y comprenden mejor las diferencias humanas cuando se les permite interactuar, en lugar de separarlas.",Islamophobia,crimes,denouncing,26,female,Bachelor
ENT1ST0001HS0092CN000001P1,"No discriminamos, pero los discapacitados son vagos.","A pesar de lo que pueda oír, no existe un ""lobby de los vagos"". Por el contrario, hay pruebas de que la discriminación es un problema en el Reino Unido. Todas las personas tienen derecho a ser tratadas como iguales en la sociedad, independientemente de su capacidad.",Islamophobia,crimes,denouncing,26,female,Bachelor
ENT1ST0001HS0092CN000001P2,Los discapacitados mentales no entienden nada.,"Te equivocas, pueden entender el trato degradante y el discurso despectivo hacia ellos.",Islamophobia,crimes,denouncing,26,female,Bachelor
ENT1ST0001HS0092CN000002,Los discapacitados mentales no pueden hablar.,La salud mental y la discapacidad son cuestiones muy distintas y deben tratarse en función de las necesidades de cada persona.,Islamophobia,crimes,denouncing,24,female,Bachelor
ENT1ST0001HS0092CN000002P1,Los discapacitados no quieren trabajar porque no pueden. Debemos tomar decisiones en su nombre.,¿Realmente está diciendo que la capacidad de una persona para trabajar es la cuestión aquí? Creo que dejar que la gente se responsabilice de su vida les ayudaría a ser mejores ciudadanos.,Islamophobia,crimes,denouncing,24,female,Bachelor
ENT1ST0001HS0092CN000002P2,"Los discapacitados son criminales, son malos con los niños y son incapaces de ser buenos padres.",Las personas son libres de pensar lo que quieran. Lo que se exige es que actúen de acuerdo con el Estado de Derecho.,Islamophobia,crimes,denouncing,24,female,Bachelor
ENT1ST0001HS0092CN000003,Hay trastornos que dificultan la capacidad de opinar.,Hay personas con discapacidad intelectual capaces de dar una opinión imparcial. Por eso es importante su educación.,Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0092CN000003P1,Los discapacitados mentales lo tienen muy fácil.,"Perdone, ¿qué quiere decir con ""tenerlo tan fácil""? Necesitan ayuda específica, y lo correcto es proporcionársela, como haríamos con personas de otras categorías.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0092CN000003P2,Los discapacitados mentales son delincuentes.,Las discapacidades mentales pueden comprenderse y aceptarse: verás que los discapacitados no son delincuentes.,Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0092CN000004,Los downies en la industria son un problema: crean tensiones con otros trabajadores porque son discapacitados y no pueden seguir el ritmo. Deberían tener trabajos especiales solo para ellos.,"Si piensa que sacar a todas las personas con SD de la industria resolverá los problemas en el lugar de trabajo, se equivoca. Las tensiones no desaparecerán: las personas estresadas simplemente se dirigirán a otros trabajadores con sobrepeso; o de distinto sexo; o de otras muchas formas por las que se considera que no son suficientemente productivos.",Islamophobia,crimes,other,25,male,Master
ENT1ST0001HS0092CN000004P1,Los niños con síndrome de Down pueden entorpecer el proceso de desarrollo de otros niños. Deben ser aislados.,"Las personas con síndrome de Down deben recibir enseñanza en la educación ordinaria, porque la diversidad es un enriquecimiento para todos.",Islamophobia,crimes,other,25,male,Master
ENT1ST0001HS0092CN000004P2,"Los niños con síndrome de Down deben ser aislados, porque en cualquier caso los niños normales les harían sentirse diferentes, acabando en una discriminación no deseada.","En cambio, si se les permitiera acceder a la educación convencional, interactuarían todo el tiempo con otros niños y eso provocaría menos discriminación.",Islamophobia,crimes,other,25,male,Master
ENT1ST0001HS0092CN000005,"Los niños con síndrome de Down deben ser aislados, no sólo son una carga para los niños normales, sino que además no pueden afrontar la educación en escuelas normales.","Hay varios niveles de síndrome de Down. Algunos son aptos para la educación con otros niños en ""escuelas normales"".",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0092CN000005P1,"Los niños con síndrome de Down deben ser aislados, pues no sólo son una carga para los niños normales, sino que además necesitan muchos más cuidados, atención y terapias exhaustivas, lo que hace que toda la empresa resulte muy costosa y requiera mucho tiempo. Este tiempo podría emplearse en el desarrollo de niños sin síndrome de Down.","La coeducación con niños de desarrollo regular es una inversión mucho mejor y, además, reduce costes, tiempo y esfuerzo.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0092CN000005P2,"Los niños con síndrome de Down deben ser aislados, pues no sólo son una carga para los niños normales, sino que además requieren muchos más cuidados, atención y terapias exhaustivas, lo que hace que toda la empresa resulte muy costosa y requiera mucho tiempo. Este tiempo podría emplearse en el desarrollo de niños sin síndrome de Down.","La coeducación puede consistir en enseñar a los compañeros de clase de los niños con síndrome de Down a ser responsables. Como los niños suelen acercarse mejor a los niños con discapacidad que los adultos, su participación puede ser terapéutica, sin añadir costes.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0092CN000006,"Los niños con síndrome de Down deben ser aislados, no pueden afrontar la educación en escuelas normales.","Cuando los alumnos son capaces de demostrar que son capaces de aprender, segregar a los alumnos producirá el peor resultado para todos los gobernados.",Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0092CN000006P1,Los downies no son más que enfermos que no pueden integrarse en la sociedad debido a su enfermedad.,"¿Cuál es tu sugerencia? ¿Aislamiento? La verdadera solución es implicarles en el trabajo y en la vida cotidiana, ya que esto normaliza su enfermedad y ayuda a la integración con otras personas.",Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0092CN000006P2,"Los niños Downy deben ser aislados, no pueden afrontar la educación en escuelas normales y perjudican la educación de sus compañeros.","La coeducación beneficia a los niños neurotípicos tanto como a los niños con síndrome de Down, ya que están rodeados de ejemplos positivos de cuidado y atención por parte de las figuras de autoridad sabiendo que ellos también serán atendidos si lo necesitan.",Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0092CN000007,"Los niños con síndrome de Down deben ser aislados, no sólo son una carga para los niños normales, sino que además no pueden afrontar una educación normal.","¿Sabías que los niños con síndrome de Down, si están rodeados de compañeros con un desarrollo regular, reciben un impulso fundamental en su desarrollo?",Islamophobia,crimes,hypocrisy,25,male,Master
ENT1ST0001HS0092CN000007P1,Los discapacitados deben ser aislados.,"Las condiciones de las personas con discapacidad, es decir, la prohibición de tener contacto con los demás, se ve facilitada por el estigma social. La existencia de un ""estigma social"" contra los ""discapacitados"" evidencia el problema de la desigualdad.",Islamophobia,crimes,hypocrisy,25,male,Master
ENT1ST0001HS0092CN000007P2,"Hay que aislar a los discapacitados, especialmente a los autistas. No se les debe permitir tener contacto con otros discapacitados.","Se ha demostrado que las personas con discapacidad tienen menos probabilidades de desarrollar problemas si se mantienen en contacto con otras personas con trastornos del espectro autista. Por tanto, estar en contacto con otras personas del espectro autista podría ser bueno para su salud mental.",Islamophobia,crimes,hypocrisy,25,male,Master
ENT1ST0001HS0092CN000008,Las personas con discapacidad no deben ser escuchadas.,"Puede que estés juzgando a los demás por sus discapacidades, pero esto es malo. Es importante escuchar a los demás y comprender sus puntos de vista, independientemente de su condición física o mental.",Islamophobia,crimes,"denouncing , facts",26,female,Bachelor
